scenario,consistency,config,predicted_guarantee,observed_result,total_trials,completed_trials,passes,violations,failed,violation_rate,failure_rate
network_partition,RYW,C1,NOT_GUARANTEED,NO_VIOLATION_OBSERVED,100,100,100,0,0,0.0,0.0
network_partition,RYW,C2,NOT_GUARANTEED,NO_VIOLATION_OBSERVED,100,100,100,0,0,0.0,0.0
network_partition,RYW,C3,NOT_GUARANTEED,NO_VIOLATION_OBSERVED,100,100,100,0,0,0.0,0.0
network_partition,RYW,C4,GUARANTEED,NO_VIOLATION_OBSERVED,100,100,100,0,0,0.0,0.0
network_partition,MR,C1,NOT_GUARANTEED,NO_VIOLATION_OBSERVED,100,100,100,0,0,0.0,0.0
network_partition,MR,C2,GUARANTEED,NO_VIOLATION_OBSERVED,100,100,100,0,0,0.0,0.0
network_partition,MR,C3,NOT_GUARANTEED,NO_VIOLATION_OBSERVED,100,100,100,0,0,0.0,0.0
network_partition,MR,C4,GUARANTEED,NO_VIOLATION_OBSERVED,100,100,100,0,0,0.0,0.0
network_partition,MW,C1,NOT_GUARANTEED,NO_VIOLATION_OBSERVED,100,100,100,0,0,0.0,0.0
network_partition,MW,C2,NOT_GUARANTEED,NO_VIOLATION_OBSERVED,100,100,100,0,0,0.0,0.0
network_partition,MW,C3,GUARANTEED,NO_VIOLATION_OBSERVED,100,100,100,0,0,0.0,0.0
network_partition,MW,C4,GUARANTEED,NO_VIOLATION_OBSERVED,100,100,100,0,0,0.0,0.0
network_partition,WFR,C1,NOT_GUARANTEED,NO_VIOLATION_OBSERVED,100,100,100,0,0,0.0,0.0
network_partition,WFR,C2,GUARANTEED,NO_VIOLATION_OBSERVED,100,100,100,0,0,0.0,0.0
network_partition,WFR,C3,NOT_GUARANTEED,NO_VIOLATION_OBSERVED,100,100,100,0,0,0.0,0.0
network_partition,WFR,C4,GUARANTEED,NO_VIOLATION_OBSERVED,100,100,100,0,0,0.0,0.0
