scenario,consistency,config,predicted_guarantee,observed_result,total_trials,completed_trials,passes,violations,failed,violation_rate,failure_rate
normal,RYW,C1,NOT_GUARANTEED,NO_VIOLATION_OBSERVED,100,100,100,0,0,0.0,0.0
normal,RYW,C2,NOT_GUARANTEED,NO_VIOLATION_OBSERVED,100,100,100,0,0,0.0,0.0
normal,RYW,C3,NOT_GUARANTEED,NO_VIOLATION_OBSERVED,100,100,100,0,0,0.0,0.0
normal,RYW,C4,GUARANTEED,NO_VIOLATION_OBSERVED,100,100,100,0,0,0.0,0.0
normal,MR,C1,NOT_GUARANTEED,NO_VIOLATION_OBSERVED,100,100,100,0,0,0.0,0.0
normal,MR,C2,GUARANTEED,NO_VIOLATION_OBSERVED,100,100,100,0,0,0.0,0.0
normal,MR,C3,NOT_GUARANTEED,NO_VIOLATION_OBSERVED,100,100,100,0,0,0.0,0.0
normal,MR,C4,GUARANTEED,NO_VIOLATION_OBSERVED,100,100,100,0,0,0.0,0.0
normal,MW,C1,NOT_GUARANTEED,NO_VIOLATION_OBSERVED,100,100,100,0,0,0.0,0.0
normal,MW,C2,NOT_GUARANTEED,NO_VIOLATION_OBSERVED,100,100,100,0,0,0.0,0.0
normal,MW,C3,GUARANTEED,NO_VIOLATION_OBSERVED,100,100,100,0,0,0.0,0.0
normal,MW,C4,GUARANTEED,NO_VIOLATION_OBSERVED,100,100,100,0,0,0.0,0.0
normal,WFR,C1,NOT_GUARANTEED,NO_VIOLATION_OBSERVED,100,100,100,0,0,0.0,0.0
normal,WFR,C2,GUARANTEED,NO_VIOLATION_OBSERVED,100,100,100,0,0,0.0,0.0
normal,WFR,C3,NOT_GUARANTEED,NO_VIOLATION_OBSERVED,100,100,100,0,0,0.0,0.0
normal,WFR,C4,GUARANTEED,NO_VIOLATION_OBSERVED,100,100,100,0,0,0.0,0.0
